title,description,source,published_date,url
A new troll account is taking over college basketball with fake news,"In this new age of social media, misinformation is running rampant, especially on Elon Musk&#8217;s version of Twitter known as X. And with opening of the transfer portal, the NCAA Tournament, and the coaching carousel happening all at once, college basketball seems especially ripe for misinformation to run amok throughout the sport. That appears to Read more...The post A new troll account is taking over college basketball with fake news appeared first on Awful Announcing.",awfulannouncing,2025-03-26T02:26:22+00:00,https://awfulannouncing.com/college-basketball/new-troll-account-rob-reinhart.html
"'Adrenaline of the moment' drove children to take part in summer riots, says commissioner","Children joined last summer’s riots driven by the ""adrenaline of the moment,"" rather than far-right ideology or social media misinformation, the Children's Commissioner for England has said.",Independent,2025-01-28T09:16:43+00:00,https://www.independent.co.uk/tv/news/southport-riots-childrens-commissioner-b2687495.html
Biden warned of oligarchs. Some officials worry he may have helped create one.,"By Kayla Tausche, CNN Washington (CNN) &#8212; President Joe Biden’s warnings Wednesday night about social media misinformation, the tech-industrial complex and the concentration of wealth and power struck many as a not-so-subtle shot across the bow at Elon Musk, the world’s richest man who’s also become President-elect Donald Trump’s closest consigliere. But within the WhiteThe post Biden warned of oligarchs. Some officials worry he may have helped create one. appeared first on KRDO.",krdo,2025-01-16T17:00:57+00:00,https://krdo.com/news/2025/01/16/biden-warned-of-oligarchs-some-officials-worry-he-may-have-helped-create-one/
Gavin Newsom issues strange plea to Joe Biden as he faces furious backlash for wildfire response,California Gov. Gavin Newsom on Friday complained that social media 'misinformation' was hurting residents in his state after he and Mayor Karen Bass were heavily criticized for their failures.,Mail,2025-01-10T22:16:13+00:00,https://www.dailymail.co.uk/news/article-14272389/Gavin-Newsom-joe-biden-misinformation-white-house-california-fire.html?ns_mchannel=rss&ns_campaign=1490&ito=1490
